,time (minutes),percents,optimization
2,0.6619683423212603,0.8,desired-0.5
3,0.8826244564283471,0.8,desired-0.5
4,1.1032805705354338,0.8,desired-0.5
5,1.3239366846425207,0.7666666666666667,desired-0.5
6,1.5445927987496075,0.7666666666666667,desired-0.5
7,1.7652489128566942,0.7666666666666667,desired-0.5
8,1.9859050269637808,0.7666666666666667,desired-0.5
9,2.2065611410708676,0.7666666666666667,desired-0.5
10,2.4272172551779545,0.8,desired-0.5
11,2.6478733692850414,0.7666666666666667,desired-0.5
12,2.8685294833921278,0.7666666666666667,desired-0.5
13,3.089185597499215,0.7666666666666667,desired-0.5
14,3.3098417116063015,0.8,desired-0.5
15,3.5304978257133883,0.7666666666666667,desired-0.5
16,3.751153939820475,0.7333333333333333,desired-0.5
17,3.9718100539275616,0.7333333333333333,desired-0.5
18,4.192466168034649,0.7333333333333333,desired-0.5
19,4.413122282141735,0.7666666666666667,desired-0.5
0,0.5936628065337153,0.7333333333333333,masking-0.1
1,1.1873256130674306,0.7333333333333333,masking-0.1
2,1.7809884196011458,0.7666666666666667,masking-0.1
3,2.374651226134861,0.7666666666666667,masking-0.1
4,2.9683140326685757,0.8,masking-0.1
5,3.5619768392022917,0.8,masking-0.1
6,4.155639645736007,0.7666666666666667,masking-0.1
7,4.749302452269722,0.8,masking-0.1
8,5.342965258803437,0.7666666666666667,masking-0.1
9,5.9366280653371515,0.7666666666666667,masking-0.1
10,6.530290871870868,0.7666666666666667,masking-0.1
11,7.123953678404583,0.7666666666666667,masking-0.1
12,7.717616484938299,0.7666666666666667,masking-0.1
13,8.311279291472013,0.7666666666666667,masking-0.1
14,8.904942098005728,0.7333333333333333,masking-0.1
15,9.498604904539445,0.7333333333333333,masking-0.1
16,10.09226771107316,0.7333333333333333,masking-0.1
17,10.685930517606874,0.7333333333333333,masking-0.1
18,11.27959332414059,0.7333333333333333,masking-0.1
19,11.873256130674303,0.7333333333333333,masking-0.1
0,0.19059693246366613,0.7666666666666667,masking-0.5
1,0.38119386492733226,0.7333333333333333,masking-0.5
2,0.5717907973909984,0.7,masking-0.5
3,0.7623877298546645,0.7666666666666667,masking-0.5
4,0.9529846623183306,0.8,masking-0.5
5,1.1435815947819967,0.7,masking-0.5
6,1.334178527245663,0.7,masking-0.5
7,1.524775459709329,0.7333333333333333,masking-0.5
8,1.715372392172995,0.7333333333333333,masking-0.5
9,1.9059693246366611,0.7,masking-0.5
10,2.0965662571003274,0.7,masking-0.5
11,2.2871631895639934,0.7,masking-0.5
12,2.4777601220276595,0.7,masking-0.5
13,2.668357054491326,0.6666666666666666,masking-0.5
14,2.858953986954992,0.6666666666666666,masking-0.5
15,3.049550919418658,0.6666666666666666,masking-0.5
16,3.2401478518823246,0.6666666666666666,masking-0.5
17,3.43074478434599,0.6666666666666666,masking-0.5
18,3.6213417168096567,0.6666666666666666,masking-0.5
19,3.8119386492733223,0.6666666666666666,masking-0.5
0,0.24646502261415715,0.7333333333333333,topk-desired-masking-0.1
1,0.4929300452283143,0.7333333333333333,topk-desired-masking-0.1
2,0.7393950678424714,0.7666666666666667,topk-desired-masking-0.1
3,0.9858600904566286,0.7333333333333333,topk-desired-masking-0.1
4,1.2323251130707857,0.7666666666666667,topk-desired-masking-0.1
5,1.4787901356849429,0.7333333333333333,topk-desired-masking-0.1
6,1.7252551582991,0.7333333333333333,topk-desired-masking-0.1
7,1.9717201809132572,0.7666666666666667,topk-desired-masking-0.1
8,2.2181852035274146,0.7333333333333333,topk-desired-masking-0.1
9,2.4646502261415715,0.7333333333333333,topk-desired-masking-0.1
10,2.7111152487557284,0.7333333333333333,topk-desired-masking-0.1
11,2.9575802713698858,0.7333333333333333,topk-desired-masking-0.1
12,3.204045293984043,0.7333333333333333,topk-desired-masking-0.1
13,3.4505103165982,0.7,topk-desired-masking-0.1
14,3.6969753392123574,0.7,topk-desired-masking-0.1
15,3.9434403618265144,0.7333333333333333,topk-desired-masking-0.1
16,4.189905384440672,0.7333333333333333,topk-desired-masking-0.1
17,4.436370407054829,0.7333333333333333,topk-desired-masking-0.1
18,4.6828354296689865,0.7333333333333333,topk-desired-masking-0.1
19,4.929300452283143,0.7333333333333333,topk-desired-masking-0.1
0,0.12931547331427168,0.7333333333333333,topk-desired-masking-0.5
1,0.25863094662854336,0.6666666666666666,topk-desired-masking-0.5
2,0.38794641994281504,0.6666666666666666,topk-desired-masking-0.5
3,0.5172618932570867,0.6666666666666666,topk-desired-masking-0.5
4,0.6465773665713584,0.7,topk-desired-masking-0.5
5,0.7758928398856301,0.6666666666666666,topk-desired-masking-0.5
6,0.9052083131999018,0.6,topk-desired-masking-0.5
7,1.0345237865141734,0.6333333333333333,topk-desired-masking-0.5
8,1.1638392598284453,0.6666666666666666,topk-desired-masking-0.5
9,1.293154733142717,0.6666666666666666,topk-desired-masking-0.5
10,1.4224702064569885,0.6666666666666666,topk-desired-masking-0.5
11,1.5517856797712601,0.6333333333333333,topk-desired-masking-0.5
12,1.681101153085532,0.6,topk-desired-masking-0.5
13,1.8104166263998036,0.6333333333333333,topk-desired-masking-0.5
14,1.9397320997140752,0.6,topk-desired-masking-0.5
15,2.069047573028347,0.6,topk-desired-masking-0.5
16,2.1983630463426187,0.6,topk-desired-masking-0.5
17,2.3276785196568905,0.6,topk-desired-masking-0.5
18,2.456993992971162,0.6,topk-desired-masking-0.5
19,2.586309466285434,0.6,topk-desired-masking-0.5
0,0.7667700861227496,0.7333333333333333,0.1
1,1.533540172245499,0.7666666666666667,0.1
2,2.3003102583682487,0.8,0.1
3,3.067080344490998,0.8,0.1
4,3.833850430613748,0.8,0.1
5,4.600620516736497,0.8,0.1
6,5.367390602859248,0.8666666666666667,0.1
7,6.134160688981996,0.8666666666666667,0.1
8,6.900930775104747,0.9,0.1
9,7.667700861227496,0.9,0.1
10,8.434470947350245,0.9,0.1
11,9.201241033472995,0.9,0.1
12,9.968011119595745,0.9333333333333333,0.1
13,10.734781205718496,0.9333333333333333,0.1
14,11.501551291841245,0.9333333333333333,0.1
15,12.268321377963993,0.9333333333333333,0.1
16,13.035091464086745,0.9666666666666667,0.1
17,13.801861550209495,0.9666666666666667,0.1
18,14.568631636332244,1.0,0.1
19,15.335401722454993,1.0,0.1
0,0.24343303092783963,0.7,0.5
1,0.48686606185567927,0.7333333333333333,0.5
2,0.7302990927835189,0.7333333333333333,0.5
3,0.9737321237113585,0.7666666666666667,0.5
4,1.2171651546391982,0.7666666666666667,0.5
5,1.4605981855670378,0.7666666666666667,0.5
6,1.7040312164948772,0.7666666666666667,0.5
7,1.947464247422717,0.7666666666666667,0.5
8,2.1908972783505565,0.7666666666666667,0.5
9,2.4343303092783963,0.7666666666666667,0.5
10,2.677763340206236,0.8,0.5
11,2.9211963711340756,0.8,0.5
12,3.1646294020619155,0.8,0.5
13,3.4080624329897544,0.8,0.5
14,3.6514954639175943,0.8,0.5
15,3.894928494845434,0.8,0.5
16,4.1383615257732735,0.8,0.5
17,4.381794556701113,0.7666666666666667,0.5
18,4.625227587628953,0.7666666666666667,0.5
19,4.868660618556793,0.7666666666666667,0.5
0,0.47590431940098205,0.7333333333333333,topk-0.1
1,0.9518086388019641,0.7333333333333333,topk-0.1
2,1.4277129582029462,0.8,topk-0.1
3,1.9036172776039282,0.8,topk-0.1
4,2.3795215970049104,0.8333333333333334,topk-0.1
5,2.8554259164058924,0.8333333333333334,topk-0.1
6,3.3313302358068744,0.8666666666666667,topk-0.1
7,3.8072345552078564,0.8666666666666667,topk-0.1
8,4.283138874608839,0.9,topk-0.1
9,4.759043194009821,0.8333333333333334,topk-0.1
10,5.234947513410803,0.8666666666666667,topk-0.1
11,5.710851832811785,0.8666666666666667,topk-0.1
12,6.186756152212768,0.9,topk-0.1
13,6.662660471613749,0.9333333333333333,topk-0.1
14,7.138564791014732,0.9,topk-0.1
15,7.614469110415713,0.9,topk-0.1
16,8.090373429816696,0.9,topk-0.1
17,8.566277749217678,0.9,topk-0.1
18,9.04218206861866,0.9,topk-0.1
19,9.518086388019642,0.9,topk-0.1
0,0.1675325886786743,0.7,topk-0.5
1,0.3350651773573486,0.7333333333333333,topk-0.5
2,0.5025977660360229,0.8,topk-0.5
3,0.6701303547146972,0.7666666666666667,topk-0.5
4,0.8376629433933716,0.7666666666666667,topk-0.5
5,1.0051955320720458,0.8,topk-0.5
6,1.17272812075072,0.8,topk-0.5
7,1.3402607094293943,0.8,topk-0.5
8,1.5077932981080686,0.7666666666666667,topk-0.5
9,1.675325886786743,0.7666666666666667,topk-0.5
10,1.8428584754654174,0.8333333333333334,topk-0.5
11,2.0103910641440916,0.8,topk-0.5
12,2.177923652822766,0.7666666666666667,topk-0.5
13,2.34545624150144,0.7333333333333333,topk-0.5
14,2.5129888301801144,0.7666666666666667,topk-0.5
15,2.6805214188587887,0.7666666666666667,topk-0.5
16,2.848054007537463,0.7333333333333333,topk-0.5
17,3.0155865962161372,0.7333333333333333,topk-0.5
18,3.183119184894812,0.7333333333333333,topk-0.5
19,3.350651773573486,0.7333333333333333,topk-0.5
0,0.35036025745891985,0.6333333333333333,desired-0.1
1,0.7007205149178397,0.7,desired-0.1
2,1.0510807723767597,0.7333333333333333,desired-0.1
3,1.4014410298356794,0.7,desired-0.1
4,1.7518012872945992,0.7333333333333333,desired-0.1
5,2.1021615447535194,0.7333333333333333,desired-0.1
6,2.452521802212439,0.7333333333333333,desired-0.1
7,2.802882059671359,0.7666666666666667,desired-0.1
8,3.1532423171302786,0.7666666666666667,desired-0.1
9,3.5036025745891983,0.7666666666666667,desired-0.1
10,3.853962832048118,0.7666666666666667,desired-0.1
11,4.204323089507039,0.8,desired-0.1
12,4.554683346965958,0.8,desired-0.1
13,4.905043604424878,0.8333333333333334,desired-0.1
14,5.2554038618837975,0.8,desired-0.1
15,5.605764119342718,0.8333333333333334,desired-0.1
16,5.956124376801637,0.8333333333333334,desired-0.1
17,6.306484634260557,0.8333333333333334,desired-0.1
18,6.6568448917194765,0.8333333333333334,desired-0.1
19,7.007205149178397,0.8333333333333334,desired-0.1
0,0.22065611410708677,0.7,desired-0.5
1,0.44131222821417354,0.7,desired-0.5
2,0.6619683423212603,0.7666666666666667,desired-0.5
3,0.8826244564283471,0.7666666666666667,desired-0.5
4,1.1032805705354338,0.7666666666666667,desired-0.5
5,1.3239366846425207,0.7333333333333333,desired-0.5
6,1.5445927987496075,0.7333333333333333,desired-0.5
7,1.7652489128566942,0.7666666666666667,desired-0.5
8,1.9859050269637808,0.7666666666666667,desired-0.5
9,2.2065611410708676,0.7666666666666667,desired-0.5
10,2.4272172551779545,0.7666666666666667,desired-0.5
11,2.6478733692850414,0.7666666666666667,desired-0.5
12,2.8685294833921278,0.7666666666666667,desired-0.5
13,3.089185597499215,0.7666666666666667,desired-0.5
14,3.3098417116063015,0.7666666666666667,desired-0.5
15,3.5304978257133883,0.7666666666666667,desired-0.5
16,3.751153939820475,0.7666666666666667,desired-0.5
17,3.9718100539275616,0.7666666666666667,desired-0.5
18,4.192466168034649,0.7666666666666667,desired-0.5
19,4.413122282141735,0.7666666666666667,desired-0.5
0,0.5936628065337153,0.6666666666666666,masking-0.1
1,1.1873256130674306,0.7,masking-0.1
2,1.7809884196011458,0.7,masking-0.1
3,2.374651226134861,0.7666666666666667,masking-0.1
4,2.9683140326685757,0.7666666666666667,masking-0.1
5,3.5619768392022917,0.8,masking-0.1
6,4.155639645736007,0.7666666666666667,masking-0.1
7,4.749302452269722,0.8,masking-0.1
8,5.342965258803437,0.7666666666666667,masking-0.1
9,5.9366280653371515,0.7333333333333333,masking-0.1
10,6.530290871870868,0.7333333333333333,masking-0.1
11,7.123953678404583,0.7333333333333333,masking-0.1
12,7.717616484938299,0.7,masking-0.1
13,8.311279291472013,0.7,masking-0.1
14,8.904942098005728,0.7,masking-0.1
15,9.498604904539445,0.7333333333333333,masking-0.1
16,10.09226771107316,0.7,masking-0.1
17,10.685930517606874,0.7,masking-0.1
18,11.27959332414059,0.7333333333333333,masking-0.1
19,11.873256130674303,0.7333333333333333,masking-0.1
0,0.19059693246366613,0.6666666666666666,masking-0.5
1,0.38119386492733226,0.6666666666666666,masking-0.5
2,0.5717907973909984,0.6333333333333333,masking-0.5
3,0.7623877298546645,0.7333333333333333,masking-0.5
4,0.9529846623183306,0.7333333333333333,masking-0.5
5,1.1435815947819967,0.7666666666666667,masking-0.5
6,1.334178527245663,0.6666666666666666,masking-0.5
7,1.524775459709329,0.7,masking-0.5
8,1.715372392172995,0.7333333333333333,masking-0.5
9,1.9059693246366611,0.7,masking-0.5
10,2.0965662571003274,0.7,masking-0.5
11,2.2871631895639934,0.7,masking-0.5
12,2.4777601220276595,0.7,masking-0.5
13,2.668357054491326,0.6666666666666666,masking-0.5
14,2.858953986954992,0.6666666666666666,masking-0.5
15,3.049550919418658,0.7,masking-0.5
16,3.2401478518823246,0.6666666666666666,masking-0.5
17,3.43074478434599,0.6666666666666666,masking-0.5
18,3.6213417168096567,0.6666666666666666,masking-0.5
19,3.8119386492733223,0.7,masking-0.5
0,0.24646502261415715,0.7,topk-desired-masking-0.1
1,0.4929300452283143,0.7666666666666667,topk-desired-masking-0.1
2,0.7393950678424714,0.7333333333333333,topk-desired-masking-0.1
3,0.9858600904566286,0.7333333333333333,topk-desired-masking-0.1
4,1.2323251130707857,0.7333333333333333,topk-desired-masking-0.1
5,1.4787901356849429,0.7333333333333333,topk-desired-masking-0.1
6,1.7252551582991,0.7333333333333333,topk-desired-masking-0.1
7,1.9717201809132572,0.7333333333333333,topk-desired-masking-0.1
8,2.2181852035274146,0.7,topk-desired-masking-0.1
9,2.4646502261415715,0.7,topk-desired-masking-0.1
10,2.7111152487557284,0.6666666666666666,topk-desired-masking-0.1
11,2.9575802713698858,0.7,topk-desired-masking-0.1
12,3.204045293984043,0.7,topk-desired-masking-0.1
13,3.4505103165982,0.6666666666666666,topk-desired-masking-0.1
14,3.6969753392123574,0.6666666666666666,topk-desired-masking-0.1
15,3.9434403618265144,0.6666666666666666,topk-desired-masking-0.1
16,4.189905384440672,0.6666666666666666,topk-desired-masking-0.1
17,4.436370407054829,0.6666666666666666,topk-desired-masking-0.1
18,4.6828354296689865,0.6666666666666666,topk-desired-masking-0.1
19,4.929300452283143,0.7,topk-desired-masking-0.1
0,0.12931547331427168,0.6333333333333333,topk-desired-masking-0.5
1,0.25863094662854336,0.6666666666666666,topk-desired-masking-0.5
2,0.38794641994281504,0.7,topk-desired-masking-0.5
3,0.5172618932570867,0.7,topk-desired-masking-0.5
4,0.6465773665713584,0.7,topk-desired-masking-0.5
5,0.7758928398856301,0.7,topk-desired-masking-0.5
6,0.9052083131999018,0.6333333333333333,topk-desired-masking-0.5
7,1.0345237865141734,0.6333333333333333,topk-desired-masking-0.5
8,1.1638392598284453,0.6666666666666666,topk-desired-masking-0.5
9,1.293154733142717,0.6333333333333333,topk-desired-masking-0.5
10,1.4224702064569885,0.6333333333333333,topk-desired-masking-0.5
11,1.5517856797712601,0.6333333333333333,topk-desired-masking-0.5
12,1.681101153085532,0.6333333333333333,topk-desired-masking-0.5
13,1.8104166263998036,0.6333333333333333,topk-desired-masking-0.5
14,1.9397320997140752,0.6,topk-desired-masking-0.5
15,2.069047573028347,0.6,topk-desired-masking-0.5
16,2.1983630463426187,0.6,topk-desired-masking-0.5
17,2.3276785196568905,0.6,topk-desired-masking-0.5
18,2.456993992971162,0.6,topk-desired-masking-0.5
19,2.586309466285434,0.6,topk-desired-masking-0.5
0,0.7667700861227496,0.7,0.1
1,1.533540172245499,0.7,0.1
2,2.3003102583682487,0.8,0.1
3,3.067080344490998,0.8,0.1
4,3.833850430613748,0.8,0.1
5,4.600620516736497,0.8,0.1
6,5.367390602859248,0.8333333333333334,0.1
7,6.134160688981996,0.9,0.1
8,6.900930775104747,0.9,0.1
9,7.667700861227496,0.9333333333333333,0.1
10,8.434470947350245,0.9333333333333333,0.1
11,9.201241033472995,0.9333333333333333,0.1
12,9.968011119595745,0.9333333333333333,0.1
13,10.734781205718496,0.9333333333333333,0.1
14,11.501551291841245,0.9333333333333333,0.1
15,12.268321377963993,0.9666666666666667,0.1
16,13.035091464086745,0.9333333333333333,0.1
17,13.801861550209495,0.9666666666666667,0.1
18,14.568631636332244,1.0,0.1
19,15.335401722454993,1.0,0.1
0,0.24343303092783963,0.7333333333333333,0.5
1,0.48686606185567927,0.8,0.5
2,0.7302990927835189,0.7666666666666667,0.5
3,0.9737321237113585,0.8,0.5
4,1.2171651546391982,0.8,0.5
5,1.4605981855670378,0.8,0.5
6,1.7040312164948772,0.8,0.5
7,1.947464247422717,0.8,0.5
8,2.1908972783505565,0.8,0.5
9,2.4343303092783963,0.8,0.5
10,2.677763340206236,0.8333333333333334,0.5
11,2.9211963711340756,0.8333333333333334,0.5
12,3.1646294020619155,0.8333333333333334,0.5
13,3.4080624329897544,0.8,0.5
14,3.6514954639175943,0.8,0.5
15,3.894928494845434,0.8,0.5
16,4.1383615257732735,0.8,0.5
17,4.381794556701113,0.8,0.5
18,4.625227587628953,0.8,0.5
19,4.868660618556793,0.8,0.5
0,0.47590431940098205,0.7333333333333333,topk-0.1
1,0.9518086388019641,0.8,topk-0.1
2,1.4277129582029462,0.8333333333333334,topk-0.1
3,1.9036172776039282,0.8,topk-0.1
4,2.3795215970049104,0.8333333333333334,topk-0.1
5,2.8554259164058924,0.8333333333333334,topk-0.1
6,3.3313302358068744,0.9,topk-0.1
7,3.8072345552078564,0.9,topk-0.1
8,4.283138874608839,0.9,topk-0.1
9,4.759043194009821,0.9,topk-0.1
10,5.234947513410803,0.9,topk-0.1
11,5.710851832811785,0.9333333333333333,topk-0.1
12,6.186756152212768,0.9666666666666667,topk-0.1
13,6.662660471613749,0.9666666666666667,topk-0.1
14,7.138564791014732,0.9333333333333333,topk-0.1
15,7.614469110415713,0.9333333333333333,topk-0.1
16,8.090373429816696,0.9333333333333333,topk-0.1
17,8.566277749217678,0.9333333333333333,topk-0.1
18,9.04218206861866,0.9666666666666667,topk-0.1
19,9.518086388019642,0.9666666666666667,topk-0.1
0,0.1675325886786743,0.7333333333333333,topk-0.5
1,0.3350651773573486,0.7666666666666667,topk-0.5
2,0.5025977660360229,0.8333333333333334,topk-0.5
3,0.6701303547146972,0.8,topk-0.5
4,0.8376629433933716,0.8,topk-0.5
5,1.0051955320720458,0.8,topk-0.5
6,1.17272812075072,0.8333333333333334,topk-0.5
7,1.3402607094293943,0.8333333333333334,topk-0.5
8,1.5077932981080686,0.8333333333333334,topk-0.5
9,1.675325886786743,0.8333333333333334,topk-0.5
10,1.8428584754654174,0.8333333333333334,topk-0.5
11,2.0103910641440916,0.8333333333333334,topk-0.5
12,2.177923652822766,0.8333333333333334,topk-0.5
13,2.34545624150144,0.8,topk-0.5
14,2.5129888301801144,0.7666666666666667,topk-0.5
15,2.6805214188587887,0.7666666666666667,topk-0.5
16,2.848054007537463,0.7666666666666667,topk-0.5
17,3.0155865962161372,0.7666666666666667,topk-0.5
18,3.183119184894812,0.7666666666666667,topk-0.5
19,3.350651773573486,0.7666666666666667,topk-0.5
0,0.35036025745891985,0.6,desired-0.1
1,0.7007205149178397,0.6666666666666666,desired-0.1
2,1.0510807723767597,0.7,desired-0.1
3,1.4014410298356794,0.7,desired-0.1
4,1.7518012872945992,0.7,desired-0.1
5,2.1021615447535194,0.6666666666666666,desired-0.1
6,2.452521802212439,0.7333333333333333,desired-0.1
7,2.802882059671359,0.7333333333333333,desired-0.1
8,3.1532423171302786,0.7333333333333333,desired-0.1
9,3.5036025745891983,0.7666666666666667,desired-0.1
10,3.853962832048118,0.7666666666666667,desired-0.1
11,4.204323089507039,0.7666666666666667,desired-0.1
12,4.554683346965958,0.8,desired-0.1
13,4.905043604424878,0.8,desired-0.1
14,5.2554038618837975,0.8,desired-0.1
15,5.605764119342718,0.8,desired-0.1
16,5.956124376801637,0.8,desired-0.1
17,6.306484634260557,0.8,desired-0.1
18,6.6568448917194765,0.8,desired-0.1
19,7.007205149178397,0.8,desired-0.1
0,0.22065611410708677,0.7333333333333333,desired-0.5
1,0.44131222821417354,0.7666666666666667,desired-0.5
2,0.6619683423212603,0.7666666666666667,desired-0.5
3,0.8826244564283471,0.7666666666666667,desired-0.5
4,1.1032805705354338,0.7666666666666667,desired-0.5
5,1.3239366846425207,0.7666666666666667,desired-0.5
6,1.5445927987496075,0.7666666666666667,desired-0.5
7,1.7652489128566942,0.7666666666666667,desired-0.5
8,1.9859050269637808,0.7666666666666667,desired-0.5
9,2.2065611410708676,0.7666666666666667,desired-0.5
10,2.4272172551779545,0.8333333333333334,desired-0.5
11,2.6478733692850414,0.8333333333333334,desired-0.5
12,2.8685294833921278,0.8333333333333334,desired-0.5
13,3.089185597499215,0.8,desired-0.5
14,3.3098417116063015,0.8,desired-0.5
15,3.5304978257133883,0.8,desired-0.5
16,3.751153939820475,0.8,desired-0.5
17,3.9718100539275616,0.7666666666666667,desired-0.5
18,4.192466168034649,0.7666666666666667,desired-0.5
19,4.413122282141735,0.7666666666666667,desired-0.5
0,0.5936628065337153,0.7,masking-0.1
1,1.1873256130674306,0.7666666666666667,masking-0.1
2,1.7809884196011458,0.7333333333333333,masking-0.1
3,2.374651226134861,0.7666666666666667,masking-0.1
4,2.9683140326685757,0.8,masking-0.1
5,3.5619768392022917,0.8,masking-0.1
6,4.155639645736007,0.8,masking-0.1
7,4.749302452269722,0.8,masking-0.1
8,5.342965258803437,0.8,masking-0.1
9,5.9366280653371515,0.7666666666666667,masking-0.1
10,6.530290871870868,0.7666666666666667,masking-0.1
11,7.123953678404583,0.7666666666666667,masking-0.1
12,7.717616484938299,0.7333333333333333,masking-0.1
13,8.311279291472013,0.7333333333333333,masking-0.1
14,8.904942098005728,0.7333333333333333,masking-0.1
15,9.498604904539445,0.7,masking-0.1
16,10.09226771107316,0.7,masking-0.1
17,10.685930517606874,0.7,masking-0.1
18,11.27959332414059,0.7333333333333333,masking-0.1
19,11.873256130674303,0.7333333333333333,masking-0.1
0,0.19059693246366613,0.7333333333333333,masking-0.5
1,0.38119386492733226,0.7333333333333333,masking-0.5
2,0.5717907973909984,0.7,masking-0.5
3,0.7623877298546645,0.7,masking-0.5
4,0.9529846623183306,0.7333333333333333,masking-0.5
5,1.1435815947819967,0.7333333333333333,masking-0.5
6,1.334178527245663,0.7333333333333333,masking-0.5
7,1.524775459709329,0.7,masking-0.5
8,1.715372392172995,0.6666666666666666,masking-0.5
9,1.9059693246366611,0.6666666666666666,masking-0.5
10,2.0965662571003274,0.6666666666666666,masking-0.5
11,2.2871631895639934,0.6666666666666666,masking-0.5
12,2.4777601220276595,0.6666666666666666,masking-0.5
13,2.668357054491326,0.6666666666666666,masking-0.5
14,2.858953986954992,0.6333333333333333,masking-0.5
15,3.049550919418658,0.6666666666666666,masking-0.5
16,3.2401478518823246,0.6333333333333333,masking-0.5
17,3.43074478434599,0.6333333333333333,masking-0.5
18,3.6213417168096567,0.6333333333333333,masking-0.5
